dataset_id,Nf,stress_amp,strain_amp,deltaK,dadN,fatigue_data_type,material,am_process,am_machine,power_w,scan_speed,hatch_spacing,layer_thickness,preheat_temp,build_direction,am_environment,scan_pattern,scan_rotation,fatigue_temp,fatigue_environment,r_ratio,frequency_hz,load_control,specimen_description,specimen_size_mm,Kt,E_gpa,yield_strength,uts,elongation,material_group
1,20047.798627110165,233.96526529844243,,,,sn,316l,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,490.0,656.0,48.2,316L
1,50630.18728897715,215.90585444167965,,,,sn,316l,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,490.0,656.0,48.2,316L
1,94372.34334864018,197.99943902472384,,,,sn,316l,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,490.0,656.0,48.2,316L
1,152595.8138920629,180.01666143330715,,,,sn,316l,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,490.0,656.0,48.2,316L
1,270549.9721398766,161.84502629528197,,,,sn,316l,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,490.0,656.0,48.2,316L
1,973129.9141024948,143.9245563892888,,,,sn,316l,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,490.0,656.0,48.2,316L
2,83135.1772792321,233.6810444376202,,,,sn,316lnitrogen,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,569.0,714.0,42.4,316L
2,150230.15520403552,216.05888470393913,,,,sn,316lnitrogen,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,569.0,714.0,42.4,316L
2,238948.94160953406,197.88507929476887,,,,sn,316lnitrogen,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,569.0,714.0,42.4,316L
2,290290.94535479776,179.88468042678284,,,,sn,316lnitrogen,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,569.0,714.0,42.4,316L
2,400571.67133967037,161.87097949982328,,,,sn,316lnitrogen,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,569.0,714.0,42.4,316L
2,765621.8692674527,144.1259876141602,,,,sn,316lnitrogen,lpbf,aconitymini,250,800.0,100.0,50,25,0,n2,simplehatch,90.0,25,air,0.1,10.0,force,circularcrosssectionwithdrawing,3.0,1.0,,569.0,714.0,42.4,316L
6,27539.89704775377,350.0166295243219,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,27801.7919895904,350.0653229398506,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,30277.179669350284,349.91603790414547,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,70246.524605721,299.6249682642295,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,88904.67756739048,299.9069696318654,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,125396.12086219573,249.8759176767658,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,131132.64545048657,249.8759176767658,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,170306.4247738563,250.24895572604746,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,325612.63679156324,199.5735489695895,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,450376.5063951429,199.94658701887113,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
6,478147.93186678324,199.71232682273276,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,453.0,573.0,46.0,316L
7,33152.455879482106,349.85688033292024,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,35010.91478966822,349.72701541399374,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,71289.74776063296,299.6078548317354,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,81170.76515578441,299.70969205644093,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,107453.46096194032,299.92265587111217,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,135657.69839810205,249.85014985014985,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,149669.30763338527,249.85014985014985,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,251479.74807672438,200.15282366333156,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,332024.84693832305,199.9450082572236,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
7,364847.8657644711,199.9398598486603,,,,sn,316l,lpbf,3dsystemsproxdmp320,,,,60,,90,,,,25,air,-1.0,60.0,force,circularcrosssectionwithdrawing,2.5,1.0,,440.0,570.0,49.0,316L
10,367638.492226152,236.41402576991572,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,379469.4275577406,236.41402576991572,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,474037.96674682846,236.41402576991572,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,642009.9644081912,202.99719911571498,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,731089.5356068338,202.99719911571498,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,1045482.6174395002,202.78184486550387,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,1618404.8351043786,169.03583385740882,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,2440478.486748888,169.3527122541482,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,2913316.954423695,169.3527122541482,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,8603777.538039813,135.50517709952518,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,9965849.282218775,135.17599274563088,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
10,14969147.067933623,135.4928711423701,,,,sn,316l,lpbf,renishawam400,200,750.0,,50,,90,,stripe,67.0,25,air,0.0,10.0,force,circularcrosssectionwithdrawingastme606,2.8,1.0,,,676.0,,316L
24,107723.25230532797,175.42204958937015,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,117517.8025499369,165.56399545208276,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,222445.07189206404,175.20971154401192,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,310500.4237618536,160.25978238819812,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,498925.2884479556,160.31286689953765,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,733025.2752358099,170.3552712893383,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,849080.6302786692,155.63276568909995,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,3277867.4243668905,155.40033652938584,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,9937170.107246479,140.62975202194653,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,9958871.498263486,158.87239626164146,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,9969739.959610675,155.7590258261349,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,19027.54248187518,239.82869179736775,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,53012.287640035436,249.98763037967163,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,55795.547206637784,230.0768066827595,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,211266.42672981205,220.14557691977663,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,318435.51395049924,210.1081781341146,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,598344.624735723,200.32193650741772,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,2464467.9297583653,190.71057692757722,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,9948014.88511416,198.2917105281633,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,10017467.070111327,214.57594129919417,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
81,86687.68209350691,348.7447888761801,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,374796.7893253531,298.7838631035351,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
